Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Insolacao;Evaporacao Piche;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
82689;18/11/2018;1200;0;;23.6;;;;;;
82689;19/11/2018;0000;;37.5;;11.4;;30.42;59.5;4.033333;
82689;19/11/2018;1200;0;;22.4;;;;;;
82689;20/11/2018;0000;;36.8;;11;9.9;30.14;62.5;3.2;
82689;20/11/2018;1200;0;;24.8;;;;;;
82689;21/11/2018;0000;;37.8;;11.1;9.5;29.94;64.75;2.8;
82689;21/11/2018;1200;0;;24.2;;;;;;
82689;22/11/2018;0000;;37.6;;11;9.9;30.64;62.5;2.766667;
82689;22/11/2018;1200;0;;26;;;;;;
82689;23/11/2018;0000;;36.3;;9;8.9;30.62;58.75;3.633333;
82689;23/11/2018;1200;0;;24.2;;;;;;
